cityID,name,lat,lon
1244596, Hatton, 6.8916, 80.5955
1246000, Gampola, 7.1643, 80.5696
1246294, Galle, 6.0367, 80.217
124665, Mashhad, 36.31559, 59.56796
124862, Marand, 38.4329, 45.7749
1248749, Dambulla, 7.86, 80.65167
1248991, Colombo, 6.93194, 79.84778
1249145, Chilaw, 7.57583, 79.79528
1250161, Batticaloa, 7.7102, 81.6924
1250615, Badulla, 6.9895, 81.0557
1251081, Anuradhapura, 8.31223, 80.41306
1252416, Thimphu, 27.46609, 89.64191
1252925, Warora, 20.22885, 79.00277
1252942, Wardha, 20.73933, 78.59784
1252948, Warangal, 18, 79.58333
1252960, Wani, 20.05507, 78.95313
1252997, Walajapet, 12.9251, 79.36626
1253091, Vite, 17.27343, 74.53792
1253166, Villupuram, 11.93975, 79.49244
1253251, Venkatagiri, 13.96005, 79.58032
1253278, Velur, 11.10825, 78.00113
1253286, Vellore, 12.9184, 79.13255
1253374, Vasa, 22.66079, 72.75519
1253405, Varanasi, 25.31668, 83.01041
1253544, Vaikam, 9.74858, 76.39637
1253577, Vadnagar, 23.78593, 72.63893
1253702, Uran, 18.87813, 72.93924
1253736, Upleta, 21.74015, 70.28256
1253750, Unjha, 23.80366, 72.39101
1253888, Ullal, 12.80569, 74.86058
1253914, Ujjain, 23.18239, 75.77643
1253986, Udaipur, 24.58584, 73.71346
1253993, Ooty, 11.4134, 76.69521
1254046, Tura, 25.51421, 90.20239
1254054, Tuni, 17.35905, 82.54607
1254080, Tumsar, 21.38333, 79.73333
1254241, Tonk, 26.16638, 75.78824
1254249, Tondi, 9.74173, 79.01774
1254331, Tiruvallur, 13.14376, 79.90889
1254335, Tiruvalla, 9.3816, 76.57489
1254360, Tirupati, 13.63551, 79.41989
1254373, Tirumala, 13.68333, 79.35
1254377, Tirukkoyilur, 11.9662, 79.20259
1254444, Tindivanam, 12.234, 79.65551
1254710, Tezpur, 26.63333, 92.8
1254745, Teni, 10.01115, 77.47772
1254808, Tehri, 30.39086, 78.4803
1254912, Tarakeswar, 22.88605, 88.01363
1255551, Suket, 24.64609, 76.0417
1255634, Srinagar, 34.08565, 74.80555
1255704, Soron, 27.89055, 78.74621
1255705, Soro, 21.27851, 86.68833
1255714, Sopur, 34.28671, 74.47228
1255762, Songadh, 21.16966, 73.56357
1255850, Solan, 30.90908, 77.10869
1255951, Sivagiri, 9.34461, 77.42911
1255953, Sivaganga, 9.84701, 78.48358
1256052, Sirsa, 29.53489, 75.02898
1256064, Sironj, 24.10313, 77.69055
1256067, Sirohi, 24.88838, 72.84794
1256087, Sirhind, 30.64321, 76.38421
1256124, Singur, 22.80917, 88.22944
1256287, Silchar, 24.82733, 92.79787
1256322, Sikandra Rao, 27.68859, 78.37985
1256328, Sikandarpur, 26.04327, 84.05298
1256333, Sikka, 22.43218, 69.84158
